Country,ID
Afghanistan,1
Africa not elsewhere specified,2
Albania,3
Algeria,4
America not elsewhere specified,5
Andorra,6
Angola,7
Anguilla,8
Antigua and Barbuda,9
Area Nes,10
Argentina,11
Armenia,12
Aruba,13
Asia not elsewhere specified,14
Australia,15
Austria,16
Azerbaijan,17
Bahamas,18
Bahrain,19
Bangladesh,20
Barbados,21
Belarus,22
Belgium,23
Belize,24
Benin,25
Bermuda,26
Bhutan,27
"Bolivia, Plurinational State of",28
"Bonaire, Sint Eustatius and Saba",29
Bosnia and Herzegovina,30
Botswana,31
Brazil,32
British Indian Ocean Territory,33
British Virgin Islands,34
Brunei Darussalam,35
Bulgaria,36
Burkina Faso,37
Burundi,38
Cabo Verde,39
Cambodia,40
Cameroon,41
Canada,42
Cayman Islands,43
Central African Republic,44
Chad,45
Chile,46
China,47
Christmas Island,48
Cocos (Keeling) Islands,49
Colombia,50
Comoros,51
Congo,52
"Congo, Democratic Republic of the",53
Cook Islands,54
Costa Rica,55
Côte d'Ivoire,56
Croatia,57
Cuba,58
Curaçao,59
Cyprus,60
Czech Republic,61
Denmark,62
Djibouti,63
Dominica,64
Dominican Republic,65
Ecuador,66
Egypt,67
El Salvador,68
Equatorial Guinea,69
Eritrea,70
Estonia,71
Eswatini,72
Ethiopia,73
Europe Othr. Nes,74
European Union Nes,75
Falkland Islands (Malvinas),76
Faroe Islands,77
Fiji,78
Finland,79
France,80
Free Zones,81
French Polynesia,82
French Southern and Antarctic Territories,83
Gabon,84
Gambia,85
Georgia,86
Germany,87
Ghana,88
Gibraltar,89
Greece,90
Greenland,91
Grenada,92
Guatemala,93
Guinea,94
Guinea-Bissau,95
Guyana,96
Haiti,97
Honduras,98
"Hong Kong, China",99
Hungary,100
Iceland,101
India,102
Indonesia,103
"Iran, Islamic Republic of",104
Iraq,105
Ireland,106
Israel,107
Italy,108
Jamaica,109
Japan,110
Jordan,111
Kazakhstan,112
Kenya,113
Kiribati,114
"Korea, Democratic People's Republic of",115
"Korea, Republic of",116
Kuwait,117
Kyrgyzstan,118
Lao People's Democratic Republic,119
Latvia,120
Lebanon,121
Lesotho,122
Liberia,123
"Libya, State of",124
Lithuania,125
Luxembourg,126
"Macao, China",127
"Macedonia, North",128
Madagascar,129
Malawi,130
Malaysia,131
Maldives,132
Mali,133
Malta,134
Marshall Islands,135
Mauritania,136
Mauritius,137
Mexico,138
"Micronesia, Federated States of",139
"Moldova, Republic of",140
Mongolia,141
Montenegro,142
Montserrat,143
Morocco,144
Mozambique,145
Myanmar,146
Namibia,147
Nauru,148
Nepal,149
Netherlands,150
New Caledonia,151
New Zealand,152
Nicaragua,153
Niger,154
Nigeria,155
Niue,156
Norfolk Island,157
Northern Mariana Islands,158
Norway,159
Oceania Nes,160
Oman,161
Pakistan,162
Palau,163
"Palestine, State of",164
Panama,165
Papua New Guinea,166
Paraguay,167
Peru,168
Philippines,169
Pitcairn,170
Poland,171
Portugal,172
Qatar,173
Romania,174
Russian Federation,175
Rwanda,176
Saint Helena,177
Saint Kitts and Nevis,178
Saint Lucia,179
Saint Pierre and Miquelon,180
Saint Vincent and the Grenadines,181
Samoa,182
Sao Tome and Principe,183
Saudi Arabia,184
Senegal,185
Serbia,186
Seychelles,187
Ship stores and bunkers,188
Sierra Leone,189
Singapore,190
Sint Maarten (Dutch part),191
Slovakia,192
Slovenia,193
Solomon Islands,194
Somalia,195
South Africa,196
South Sudan,197
Spain,198
Sri Lanka,199
Sudan,200
Suriname,201
Sweden,202
Switzerland,203
Syrian Arab Republic,204
"Taipei, Chinese",205
Tajikistan,206
"Tanzania, United Republic of",207
Thailand,208
Timor-Leste,209
Togo,210
Tokelau,211
Tonga,212
Trinidad and Tobago,213
Tunisia,214
Türkiye,215
Turkmenistan,216
Turks and Caicos Islands,217
Tuvalu,218
Uganda,219
Ukraine,220
United Arab Emirates,221
United Kingdom,222
United States Minor Outlying Islands,223
United States of America,224
Uruguay,225
Uzbekistan,226
Vanuatu,227
"Venezuela, Bolivarian Republic of",228
Viet Nam,229
Wallis and Futuna Islands,230
Western Sahara,231
Yemen,232
Zambia,233
Zimbabwe,234
